# Species	Genes	Alg.-Conn.	Anoxybacillus_flavithermus_WK1_ASM1904v1_genomic.g2d.faa	Bacillus_amyloliquefaciens_XH7_ASM22164v1_genomic.g2d.faa	Bacillus_anthracis_Ames_ASM83306v1_genomic.g2d.faa	Bacillus_clausii_KSM-K16_ASM982v1_genomic.g2d.faa	Bacillus_licheniformis_DSM_13___ATCC_14580_ASM842v1_genomic.g2d.faa	Bacillus_licheniformis_SCDB_14_ASM207409v1_genomic.g2d.faa	Bacillus_megaterium_DSM_319_ASM2580v1_genomic.g2d.faa	Bacillus_subtilis_subsp_subtilis_str_168_ASM904v1_genomic.g2d.faa	Bacillus_thuringiensis_BMB171_ASM9216v1_genomic.g2d.faa	Clostridioides_difficile_630_ASM920v1_genomic.g2d.faa	Clostridium_acetobutylicum_ATCC_824_ASM876v1_genomic.g2d.faa	Clostridium_beijerinckii_NCIMB_8052_ASM1696v1_genomic.g2d.faa	Clostridium_botulinum_A_str_ATCC_3502_ASM6358v1_genomic.g2d.faa	Clostridium_kluyveri_DSM_555_ASM1650v1_genomic.g2d.faa	Clostridium_novyi_NT_ASM1412v1_genomic.g2d.faa	Clostridium_perfringens_ATCC_13124_ASM1328v1_genomic.g2d.faa	Clostridium_tetani_E88_Massachusetts_substr_E88_ASM762v1_genomic.g2d.faa	Corynebacterium_glutamicum_CP_ASM144786v2_genomic.g2d.faa	Enterococcus_faecalis_V583_ASM778v1_genomic.g2d.faa	Geobacillus_kaustophilus_HTA426_ASM978v1_genomic.g2d.faa	Lactobacillus_acidophilus_NCFM_ASM1198v1_genomic.g2d.faa	Lactobacillus_brevis_ATCC_367_ASM1446v1_genomic.g2d.faa	Lactobacillus_casei_BL23_ASM2648v1_genomic.g2d.faa	Lactobacillus_delbrueckii_subsp_bulgaricus_ATCC_BAA-365_ASM1440v1_genomic.g2d.faa	Lactobacillus_fermentum_IFO_3956_ASM1014v1_genomic.g2d.faa	Lactobacillus_helveticus_DPC_4571_ASM1538v1_genomic.g2d.faa	Lactobacillus_johnsonii_NCC_533_ASM806v1_genomic.g2d.faa	Lactobacillus_pentosus_BGM48_ASM285001v1_genomic.g2d.faa	Lactobacillus_plantarum_WCFS1_NCIMB8826_ASM20385v3_genomic.g2d.faa	Lactobacillus_reuteri_JCM_1112_ASM1000v1_genomic.g2d.faa	Lactobacillus_rhamnosus_GG_ASM335345v1_genomic.g2d.faa	Lactobacillus_sakei_DS4_ASM295365v1_genomic.g2d.faa	Lactobacillus_salivarius_UCC118_ASM892v1_genomic.g2d.faa	Lactococcus_lactis_subsp_cremoris_MG1363_ASM942v1_genomic.g2d.faa	Leuconostoc_mesenteroides_subsp_mesenteroides_ATCC_8293_ASM1444v1_genomic.g2d.faa	Oenococcus_oeni_PSU-1_ASM1438v1_genomic.g2d.faa	Paenibacillus_polymyxa_SQR-21_SQR21_ASM59798v1_genomic.g2d.faa	Pediococcus_pentosaceus_ATCC_25745_ASM1450v1_genomic.g2d.faa	Staphylococcus_aureus_subsp_aureus_NCTC_8325_ASM1342v1_genomic.g2d.faa	Streptococcus_agalactiae_2603V_R_ASM726v1_genomic.g2d.faa	Streptococcus_anginosus_J4211_ASM141263v1_genomic.g2d.faa	Streptococcus_dysgalactiae_subsp_equisimilis_GGS_124_ASM1070v1_genomic.g2d.faa	Streptococcus_equi_subsp_zooepidemicus_MGCS10565_MGCS10565_ATCC_BAA1716_ASM2076v1_genomic.g2d.faa	Streptococcus_gallolyticus_UCN34_ASM2718v1_genomic.g2d.faa	Streptococcus_gordonii_str_Challis_substr_CH1_ASM1700v1_genomic.g2d.faa	Streptococcus_intermedius_JTH08_ASM30680v1_genomic.g2d.faa	Streptococcus_lutetiensis_033_ASM44153v1_genomic.g2d.faa	Streptococcus_mitis_B6_ASM2716v1_genomic.g2d.faa	Streptococcus_mutans_UA159_ASM746v2_genomic.g2d.faa	Streptococcus_pneumoniae_D39_ASM1436v2_genomic.g2d.faa	Streptococcus_pyogenes_HSC5_ASM42204v1_genomic.g2d.faa	Streptococcus_pyogenes_MGAS5005_ASM1176v2_genomic.g2d.faa	Streptococcus_suis_P1_7_ASM9190v1_genomic.g2d.faa	Streptococcus_thermophilus_CNRZ1066_ASM1184v1_genomic.g2d.faa	Streptococcus_uberis_0140J_ASM954v1_genomic.g2d.faa	Tetragenococcus_halophilus_MJ4_ASM171281v1_genomic.g2d.faa
35	35	0.00153	Aflv_0907	BAXH7_02590	BF25_RS03650	*	BLi02645	B14_RS09070	BMD_4478	BSU24700	BMB171_C3908	*	*	*	*	*	*	*	*	*	*	GK2432	*	*	LCABL_11900	*	LAF_0547	*	*	BB562_06250	lp_2246	*	DU507_05165	C0213_07215	LSL_0427	llmg_2405	*	*	*	PEPE_1235	SAOUHSC_01639	*	SanJ4211_0221	SDEG_0137	Sez_0118	GALLO_0090	SGO_1921	SCIM_RS08230	KE3_RS00250	smi_0208	SMU_1983	SPD_1860	L897_00690	M5005_Spy0089	SSU0129	str1862	SUB0121	AC806_RS01075
18	18	0.00975	Aflv_R023	BAXH7_t04246	BF25_RS24515	*	BLi00180	B14_RS20950	*	*	BMB171_C5144	*	*	*	*	*	*	*	*	*	EF_tRNAThr2	*	*	LVIS_t0428	*	LBUL_t0220	*	*	LJ_T005	BB562_03750	*	*	DU507_13710	*	*	*	*	*	*	*	*	*	SanJ4211_2171	*	*	*	SGO_0710	SCIM_RS05155	*	smi_1134	*	SPD_0899	*	*	*	*	*	AC806_RS02920
9	9	0.00664	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	LBA0326	*	*	*	*	*	*	*	*	*	*	*	*	*	LEUM_1681	*	*	*	*	SAG1875	SanJ4211_0120	SDEG_1659	*	GALLO_0433	*	*	KE3_RS00990	*	*	*	*	M5005_Spy1460	SSU0903	*	*	*
26	26	0.0183	Aflv_2143	BAXH7_02444	BF25_RS19250	*	BLi01215	B14_RS15665	BMD_0692	BSU11270	BMB171_C1030	*	*	*	*	*	*	*	*	*	EF_1043	GK0801	*	LVIS_0350	LCABL_15820	LBUL_0759	LAF_0866	*	*	BB562_08070	lp_1900	LAR_0720	DU507_07170	C0213_05950	LSL_0864	llmg_0477	LEUM_0773	OEOE_0999	*	PEPE_1095	SAOUHSC_00919	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	AC806_RS08080
54	54	0.000471	Aflv_2743	BAXH7_03870	BF25_RS25990	ABC3896	BLi03972	B14_RS02505	BMD_5176	BSU37340	*	CD630_35610	CA_C2894	Cbei_0396	CBO0130	CKL_3717	NT01CX_0557	CPF_2473	CTC_00293	*	EF_1145	GK3402	LBA0231	LVIS_0485	LCABL_27410	LBUL_0307	LAF_0200	lhv_0245	LJ_0222	BB562_14585	lp_0479	LAR_0219	DU507_13300	C0213_08985	LSL_0340	llmg_1495	LEUM_0512	OEOE_1789	PPSQR21_001240	PEPE_1573	SAOUHSC_00610	SAG0513	SanJ4211_0600	SDEG_0640	Sez_1315	GALLO_1504	SGO_1620	SCIM_RS03030	KE3_RS07100	smi_1254	SMU_721	SPD_1144	L897_02775	M5005_Spy0515	SSU0487	str1151	SUB0610	AC806_RS07065
8	8	0.00592	Aflv_2236	*	*	*	*	*	*	*	*	*	*	*	CBO2090	*	*	*	*	*	*	*	*	*	*	*	*	*	LJ_1055	*	*	*	DU507_02315	*	LSL_1565	*	*	*	PPSQR21_036770	*	*	*	*	*	*	GALLO_1063	*	*	*	smi_1318	*	*	*	*	*	*	*	*
42	42	0.014	Aflv_0689	BAXH7_02813	BF25_RS02580	ABC2612	BLi02930	B14_RS07640	BMD_4653	BSU28010	BMB171_C4113	*	*	*	*	*	*	*	*	*	EF_3061	GK2615	LBA0800	LVIS_1248	LCABL_14870	LBUL_0665	LAF_0502	lhv_0847	LJ_0964	BB562_05945	lp_2317	LAR_0500	DU507_06635	C0213_05070	LSL_1066	llmg_2508	LEUM_0575	OEOE_1388	PPSQR21_039070	PEPE_1287	SAOUHSC_01758	*	SanJ4211_0017	*	Sez_0017	GALLO_0018	*	SCIM_RS00190	KE3_RS01560	smi_2064	SMU_21	SPD_2044	*	*	SSU0019	str0021	SUB0018	AC806_RS11350
6	6	0.0429	*	*	*	*	*	*	*	*	*	*	CA_C2157	Cbei_4263	CBO2657	CKL_1158	NT01CX_1907	*	CTC_01671	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
6	6	0.0272	*	*	*	*	*	*	*	*	BMB171_P0121	CD630_20940	*	*	*	*	NT01CX_1424	CPF_0992	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	SMU_1485c	SPD_1109	*	*	*	*	*	*
7	7	0.0187	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	LVIS_0775	LCABL_15970	*	LAF_0878	*	*	BB562_08140	lp_1884	*	DU507_07245	*	LSL_0901	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
31	31	0.00512	Aflv_2228	BAXH7_01046	BF25_RS13630	*	BLi01159	B14_RS15965	BMD_0645	BSU10650	BMB171_C2067	CD630_10430	CA_C2736	Cbei_0981	CBO0473	CKL_0121	NT01CX_1251	CPF_0207	CTC_00579	*	EF_2689	GK0684	*	LVIS_1963	LCABL_07500	*	LAF_0065	*	*	BB562_09645	lp_1548	LAR_0985	DU507_03435	*	LSL_1369	llmg_1133	*	*	PPSQR21_034130	*	SAOUHSC_01342	*	*	*	*	*	*	*	*	*	*	*	*	*	*	str1394	*	AC806_RS08845
